Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
110,4,21,6,02,04,5,1,35,39.000000,01,E,A,4,0.000,0,0.00,42.95,7.140000,0.820000,5.030000,0.000000,0.000000,0.000000,19.19,5154000.000
111,5,22,7,02,04,4,1,35,25.000000,01,E,A,4,0.000,0,0.00,84.11,15.170000,3.810000,6.460000,0.000000,0.000000,0.000000,36.63,12616500.000
112,5,5,20,02,04,14,3,10,32.000000,01,E,Z,3,1100000.000,1,7.39,49.80,8.620000,1.660000,4.780000,2.240000,0.000000,0.000000,13.09,10209000.000
113,5,23,8,02,04,9,8,35,20.000000,70,E,A,4,0.000,0,0.00,25.98,5.410000,0.890000,1.560000,0.000000,0.000000,0.000000,4.49,5196000.000
114,5,21,8,02,04,7,4,35,11.000000,01,E,A,4,700000.000,1,7.85,33.48,7.880000,1.160000,1.090000,2.370000,0.000000,0.000000,7.81,5691600.000
115,0,9,16,02,04,15,3,35,28.000000,01,E,A,3,1400000.000,1,9.03,62.19,12.420000,1.120000,5.270000,2.730000,0.000000,0.000000,9.46,11194200.000
116,6,43,5,01,04,4,3,35,0.000000,01,E,A,3,0.000,0,0.00,23.46,6.230000,0.870000,0.000000,0.000000,0.000000,0.000000,7.41,8914800.000
117,6,41,15,02,04,4,4,35,0.000000,01,E,A,4,0.000,0,0.00,50.73,15.350000,0.000000,0.000000,0.000000,0.000000,0.000000,18.07,26886900.000
118,4,15,10,04,04,14,2,35,40.000000,01,E,A,3,0.000,0,0.00,57.10,9.190000,1.190000,6.890000,0.000000,0.000000,0.000000,9.63,5710000.000
119,5,23,8,02,04,7,3,35,20.000000,01,E,A,3,0.000,0,0.00,54.72,11.930000,1.240000,3.380000,0.000000,0.000000,0.000000,8.12,14227200.000
120,6,46,8,02,04,4,4,35,0.000000,70,E,A,4,0.000,0,0.00,22.24,6.730000,0.000000,0.000000,0.000000,0.000000,0.000000,8.92,6449600.000
121,5,22,22,01,04,11,3,35,28.000000,01,E,A,3,0.000,0,0.00,51.45,10.000000,1.200000,4.360000,0.000000,0.000000,0.000000,9.79,14920500.000
122,6,34,10,02,04,5,5,35,9.000000,01,E,A,4,0.000,0,0.00,21.97,5.290000,0.740000,0.610000,0.000000,0.000000,0.000000,5.70,7030400.000
123,5,33,6,04,08,3,3,35,0.000000,01,D,A,3,0.000,0,0.00,33.61,8.800000,1.370000,0.000000,0.000000,0.000000,0.000000,17.04,8402500.000
124,6,41,40,02,04,13,1,11,8.000000,01,E,B,4,0.000,1,14.55,14.55,19.690000,2.500000,1.920000,0.000000,0.000000,0.000000,8.37,55290000.000
125,6,41,40,02,04,13,11,35,8.000000,01,E,A,4,0.000,0,0.00,65.14,19.690000,2.500000,1.920000,0.000000,0.000000,0.000000,8.37,53414800.000
126,6,41,8,02,04,4,1,35,0.000000,01,E,A,4,0.000,0,0.00,28.50,8.620000,0.000000,0.000000,0.000000,0.000000,0.000000,9.30,17670000.000
127,5,41,5,06,04,4,4,35,0.000000,01,E,A,3,0.000,0,0.00,25.71,7.780000,0.000000,0.000000,0.000000,0.000000,0.000000,9.98,8227200.000
128,5,39,7,02,04,4,3,35,0.000000,70,E,A,4,0.000,0,0.00,23.09,5.910000,1.080000,0.000000,0.000000,0.000000,0.000000,7.82,5772500.000
129,3,16,15,01,04,3,1,10,0.000000,01,E,A,3,0.000,0,0.00,149.13,40.870000,4.240000,0.000000,0.000000,0.000000,0.000000,58.08,5219550.000
130,6,37,8,02,04,7,4,35,5.000000,04,E,A,3,0.000,0,0.00,33.58,8.290000,1.410000,0.460000,0.000000,0.000000,0.000000,6.17,17125800.000
131,3,34,12,02,04,5,3,35,6.000000,01,E,A,3,0.000,0,0.00,45.07,11.010000,1.860000,0.760000,0.000000,0.000000,0.000000,13.10,5408400.000
132,5,39,9,02,04,5,3,35,0.000000,09,C,A,4,0.000,0,0.00,28.74,8.690000,0.000000,0.000000,0.000000,0.000000,0.000000,8.29,7759800.000
133,0,6,12,02,04,15,8,35,31.000000,01,E,A,3,1000000.000,1,10.81,43.86,7.590000,1.630000,4.050000,3.270000,0.000000,0.000000,8.53,7894800.000
134,3,21,8,02,04,7,4,35,22.000000,01,E,A,3,0.000,0,0.00,37.18,7.960000,1.270000,2.610000,1.220000,0.000000,0.000000,7.93,5205200.000
135,5,25,38,02,Z,32,16,35,8.000000,01,G,A,3,0.000,0,0.00,43.53,11.300000,0.850000,1.020000,0.000000,0.000000,0.000000,2.93,14582550.000
136,6,45,6,06,04,4,2,35,0.000000,01,E,A,4,0.000,0,0.00,24.00,7.260000,0.000000,0.000000,0.000000,0.000000,0.000000,8.09,10320000.000
137,6,30,10,01,04,7,3,35,14.000000,01,E,A,4,0.000,0,0.00,39.11,8.620000,1.610000,1.600000,0.000000,0.000000,0.000000,8.00,29332500.000
138,5,27,6,02,04,12,5,35,5.000000,01,E,A,3,0.000,0,0.00,40.28,14.160000,1.340000,0.800000,0.000000,0.000000,0.000000,8.44,10875600.000
139,3,24,10,02,04,14,7,35,99.000000,01,E,A,3,0.000,0,0.00,45.12,9.740000,1.220000,1451.280000,0.000000,0.000000,0.000000,6.50,6226560.000
140,5,20,22,06,11,24,23,35,15.000000,70,I,A,4,1400000.000,1,5.91,43.24,10.000000,1.150000,1.930000,1.790000,0.000000,0.000000,3.42,17728400.000
141,6,40,8,02,04,4,1,10,0.000000,01,E,Z,4,0.000,0,0.00,43.32,12.100000,1.000000,0.000000,0.000000,0.000000,0.000000,20.27,8664000.000
142,5,22,8,02,04,3,1,29,9.000000,01,E,E,4,0.000,0,0.00,125.60,29.650000,5.100000,3.240000,0.000000,0.000000,0.000000,52.98,21352000.000
143,5,24,13,02,04,10,8,35,29.000000,01,E,A,3,0.000,0,0.00,31.40,5.920000,0.850000,2.730000,0.000000,0.000000,0.000000,4.34,8635000.000
144,5,39,5,02,04,4,3,35,0.000000,09,C,A,4,0.000,0,0.00,23.83,7.210000,0.000000,0.000000,0.000000,0.000000,0.000000,8.71,7149000.000
145,5,30,6,02,04,5,2,35,0.000000,01,E,A,3,0.000,0,0.00,29.13,7.930000,0.880000,0.000000,0.000000,0.000000,0.000000,8.76,7428150.000
